algorithm,target,outer_fold,best_config,class_labels,inner_mae_mean,inner_qwk_mean
Softmax fijo,GDS,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",nan,nan
Softmax fijo,GDS,2,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",nan,nan
Softmax HP,GDS,1,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",0.5563044034818229,0.46872097569569465
Softmax HP,GDS,2,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",0.5392857142857143,0.4723969737731293
CORAL sin pesos,GDS,1,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",0.7548835125448029,0.6644160013538724
CORAL sin pesos,GDS,2,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",0.7660714285714285,0.6589381766810477
CORAL con pesos,GDS,1,"{""beta"": 0.9, ""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",0.7673643113159242,0.6747113658065884
CORAL con pesos,GDS,2,"{""beta"": 0.9, ""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",0.7875,0.6622177707260104
CORN,GDS,1,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",0.48298131080389145,0.6953213391452437
CORN,GDS,2,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",0.5,0.6438715647176374
Softmax equiparado (argmax),GDS,1,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",0.5009216589861751,0.6951187319993373
Softmax equiparado (argmax),GDS,2,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",0.4857142857142857,0.6633597531069975
Softmax equiparado (mediana),GDS,1,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3, 4, 5, 6, 7]",0.5009216589861751,0.6951187319993373
