algorithm,target,hidden_dim,dropout,learning_rate,weight_decay,epochs,outer_folds,inner_folds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mae_ordinal,qwk,accuracy_pm1,errores_graves,accuracy_std,balanced_accuracy_std,precision_macro_std,recall_macro_std,f1_macro_std,mae_ordinal_std,qwk_std,accuracy_pm1_std,errores_graves_std
Softmax fijo,GDS,32,0.15,0.001,0.0001,20,2,2,0.5406305903398927,0.22400440325272541,0.2138219591542323,0.22400440325272541,0.20463804127531193,0.5353389343214925,0.534020219744501,0.9356551878354205,0.0643448121645796,0.03436940966010732,0.021432193459039087,0.0047032246251887955,0.021432193459039087,0.018885631537151143,0.04426750575006391,0.06977983637447122,0.0018448121645796012,0.0018448121645796081
Softmax HP,GDS,32,0.15,0.001,0.0001,20,2,2,0.5540458088423205,0.2421713007350591,0.21090104565938833,0.2421713007350591,0.2217764459908982,0.5085069000766675,0.6022714637110854,0.9419179657551751,0.05808203424482494,0.02273990544339377,0.014344447995454687,0.005205459920801472,0.014344447995454687,0.011451414292644457,0.01922118579095325,0.016672466610090475,0.006203680040889337,0.00620368004088934
CORAL sin pesos,GDS,32,0.15,0.001,0.0001,20,2,2,0.3914068489649885,0.3839370994059393,0.41570744020812267,0.3839370994059393,0.3660929941105485,0.7086889854331715,0.6721318276563384,0.907947866087401,0.09205213391259903,0.015736008177868632,0.02400572521569644,0.01916067286393769,0.02400572521569644,0.01891586419075636,0.02297469971888577,0.006951266899535569,0.0063378481983132895,0.006337848198313317
CORAL con pesos,GDS,32,0.15,0.001,0.0001,20,2,2,0.37262969588550987,0.4335055611699907,0.3345091682014664,0.4335055611699907,0.29386852952522813,0.734616981855354,0.6827752938992351,0.9025827370304114,0.09741726296958855,0.02737030411449018,0.017681785058582727,0.030108013800311972,0.017681785058582727,0.032944909387345594,0.03640269614106828,0.0017242222573779498,0.009917262969588558,0.009917262969588551
CORN,GDS,32,0.15,0.001,0.0001,20,2,2,0.5477942116023511,0.2509426207470311,0.23983797826775644,0.2509426207470311,0.23636240409038553,0.5031449654996166,0.6427733405519267,0.9526370431893687,0.04736295681063123,0.018277216969077414,0.00331565944797009,0.012235073175042898,0.00331565944797009,0.0010030431392382966,0.019216394071045223,0.01721263368496101,0.0008513289036545246,0.0008513289036544865
Softmax equiparado (argmax),GDS,32,0.15,0.001,0.0001,20,2,2,0.5647680807564528,0.3375141812131266,0.34604920157548635,0.3375141812131266,0.31706563430595736,0.482588487094301,0.695592600926511,0.9580053667262969,0.04199463327370304,0.02451763352926145,0.020794218955292793,0.003660406592610327,0.020794218955292793,0.001404082830291531,0.01651705852287247,0.01758917543103755,0.00800536672629698,0.00800536672629696
Softmax equiparado (mediana),GDS,32,0.15,0.001,0.0001,20,2,2,0.5674498466649629,0.3425161849974889,0.3717448964504,0.3425161849974889,0.32861160440883386,0.4772281497572195,0.6966940107129268,0.9597910810120113,0.040208918987988757,0.023621581906465627,0.03393314969537403,0.02660369037801985,0.03393314969537403,0.018022447456697593,0.01829957832864812,0.017671843136171983,0.006219652440582646,0.006219652440582674
Softmax fijo,GDS_R1,32,0.15,0.001,0.0001,20,5,3,0.891888212684177,0.49528636405829385,0.5156162080596918,0.49528636405829385,0.5033255691768548,0.10900464445868033,0.613444439230423,0.9991071428571429,0.0008928571428571428,0.03457558066248746,0.05056900569085346,0.05826875329064574,0.05056900569085346,0.05376821054991536,0.03448126132308887,0.11121926445204182,0.0017857142857142794,0.0017857142857142857
Softmax HP,GDS_R1,32,0.15,0.001,0.0001,20,5,3,0.8918882126841767,0.49715770908753365,0.5165608954390374,0.49715770908753365,0.5048017719415021,0.10900464445868034,0.6152957347072334,0.9991071428571429,0.0008928571428571428,0.03027297344175687,0.041485998585721794,0.049047885663269446,0.041485998585721794,0.044257859002276155,0.030297053719195156,0.09422250901694011,0.0017857142857142794,0.0017857142857142857
CORAL sin pesos,GDS_R1,32,0.15,0.001,0.0001,20,5,3,0.8802610506085843,0.6587004548408057,0.709124550972377,0.6587004548408057,0.6094054079426818,0.12420323510570146,0.6267688878511882,0.9955357142857142,0.004464285714285714,0.010972806651437156,0.07742909437247573,0.08533536945934216,0.07742909437247573,0.08753703661987806,0.013539572722538844,0.05258373382686935,0.0028234621965789,0.00282346219657891
