method,target,n_expected,n_oof,n_unique,status
softmax_fixed,GDS,1119,1119,1119,complete
softmax_hp,GDS,1119,1119,1119,complete
coral,GDS,1119,1119,1119,complete
coral_weighted,GDS,1119,1119,1119,complete
corn,GDS,1119,1119,1119,complete
softmax_matched,GDS,1119,1119,1119,complete
softmax_matched_median,GDS,1119,1119,1119,complete
softmax_fixed,GDS_R1,1119,1119,1119,complete
softmax_hp,GDS_R1,1119,1119,1119,complete
coral,GDS_R1,1119,1119,1119,complete
coral_weighted,GDS_R1,1119,1119,1119,complete
corn,GDS_R1,1119,1119,1119,complete
softmax_matched,GDS_R1,1119,1119,1119,complete
softmax_matched_median,GDS_R1,1119,1119,1119,complete
softmax_fixed,GDS_R2,1119,1119,1119,complete
softmax_hp,GDS_R2,1119,1119,1119,complete
coral,GDS_R2,1119,1119,1119,complete
coral_weighted,GDS_R2,1119,1119,1119,complete
corn,GDS_R2,1119,1119,1119,complete
softmax_matched,GDS_R2,1119,1119,1119,complete
softmax_matched_median,GDS_R2,1119,1119,1119,complete
softmax_fixed,GDS_R3,1119,1119,1119,complete
softmax_hp,GDS_R3,1119,1119,1119,complete
coral,GDS_R3,1119,1119,1119,complete
coral_weighted,GDS_R3,1119,1119,1119,complete
corn,GDS_R3,1119,1119,1119,complete
softmax_matched,GDS_R3,1119,1119,1119,complete
softmax_matched_median,GDS_R3,1119,1119,1119,complete
softmax_fixed,GDS_R4,1119,1119,1119,complete
softmax_hp,GDS_R4,1119,1119,1119,complete
coral,GDS_R4,1119,1119,1119,complete
coral_weighted,GDS_R4,1119,1119,1119,complete
corn,GDS_R4,1119,1119,1119,complete
softmax_matched,GDS_R4,1119,1119,1119,complete
softmax_matched_median,GDS_R4,1119,1119,1119,complete
softmax_fixed,GDS_R5,1119,1119,1119,complete
softmax_hp,GDS_R5,1119,1119,1119,complete
coral,GDS_R5,1119,1119,1119,complete
coral_weighted,GDS_R5,1119,1119,1119,complete
corn,GDS_R5,1119,1119,1119,complete
softmax_matched,GDS_R5,1119,1119,1119,complete
softmax_matched_median,GDS_R5,1119,1119,1119,complete
